,Src,Eqid,Datetime,Lat,Lon,Mag,Depth,Nst,Place
266,hv,60578551,1382072154900,19.3987,-155.2128,2,3.5,,"4km SE of Volcano, Hawaii"
267,nc,72089871,1382072047600,38.8143,-122.8218,1.5,3.6,,"7km NW of The Geysers, California"
268,nc,72089866,1382071963300,38.8157,-122.8272,1.4,2.7,,"7km NW of The Geysers, California"
269,uu,60041612,1382070180600,38.9793,-111.4047,1.5,6.8,,"26km WSW of Ferron, Utah"
270,ak,10826317,1382069993000,61.8923,-149.9979,1.4,43.3,,"16km N of Willow, Alaska"
271,ci,11380058,1382069869900,33.6713,-116.6565,1,15.6,15,"9km SE of Idyllwild, California"
272,us,b000kg6q,1382069641720,36.7111,71.1215,4.3,215.63,,"30km ESE of Jarm, Afghanistan"
273,nc,72089851,1382069158700,38.8402,-122.7715,1,1.8,,"4km WNW of Cobb, California"
274,us,b000kg6l,1382068917150,16.1425,-60.7685,4.4,44.69,,"37km ESE of Grande Anse, Guadeloupe"
275,nn,00426694,1382068823146,39.6072,-119.795,1.2,2.1224,26,"2km NW of Sun Valley, Nevada"
276,nc,72089821,1382066805800,38.8403,-122.8285,1.7,2.6,,"9km WNW of Cobb, California"
277,nc,72089816,1382066442500,38.8085,-122.7965,1.2,3.5,,"4km NW of The Geysers, California"
278,ci,11380042,1382066099100,33.8905,-116.9098,1,14,34,"4km SW of Banning, California"
279,us,b000kg60,1382064225760,16.3929,-96.3449,4.1,68.96,,"10km NE of San Cristobal Amatlan, Mexico"
280,uu,60041602,1382062403400,38.9648,-111.3903,1.4,8,,"26km WSW of Ferron, Utah"
281,uu,60041597,1382061600000,37.8118,-113.4362,1,8.3,,"36km WNW of Cedar City, Utah"
282,nc,72089796,1382061007200,38.8273,-122.8745,1.8,2.1,,"11km WNW of The Geysers, California"
283,us,b000kg5r,1382060352340,-28.9952,-177.3712,4.8,68.09,,"59km ENE of Raoul Island, New Zealand"
284,us,b000kg5p,1382059956670,-1.0801,-81.3056,4.6,25.2,,"65km WSW of Manta, Ecuador"
285,us,b000kg5q,1382059845140,7.9178,-38.5333,4.9,10,,Central Mid-Atlantic Ridge
286,ci,11380010,1382058913800,32.8522,-116.0628,1.5,3.4,10,"35km W of Seeley, California"
287,ak,10826282,1382057073000,61.5207,-140.7424,1.6,2.9,,"186km NNE of Cape Yakataga, Alaska"
288,pr,13291001,1382057000700,19.4955,-66.0585,3.1,15,4,"114km N of San Juan, Puerto Rico"
289,ak,10826281,1382056713000,59.9126,-141.5544,1.8,19.7,,"51km ESE of Cape Yakataga, Alaska"
290,pr,13291000,1382056681300,19.7154,-65.3018,3.2,18,6,"153km NNE of Vieques, Puerto Rico"
291,nc,72089771,1382055545500,38.8027,-122.771,1,2.3,,"3km NNW of The Geysers, California"
292,nc,72089756,1382054521600,36.6177,-121.1228,1.3,5.4,,"28km NE of Soledad, California"
293,ci,11379994,1382053206400,33.1578,-115.6328,1,10.9,12,"11km WNW of Calipatria, California"
294,ak,10826080,1382052113000,61.1046,-139.9937,2,3.5,,"140km WNW of Haines Junction, Canada"
295,uw,60612907,1382051609000,49.342,-120.6212,2.1,0,,"15km SSW of Princeton, Canada"
296,ak,10826078,1382051070000,63.0823,-151.7662,1.1,19.7,4,"119km NW of Talkeetna, Alaska"
297,ak,10825962,1382049886000,61.9603,-148.2673,1.9,29,,"35km ENE of Sutton-Alpine, Alaska"
298,ci,11379962,1382048867000,31.2453,-115.6183,2.9,6,3,"61km NE of Camalu, Mexico"
299,nc,72089726,1382048604900,36.6223,-121.1617,2.9,7.9,,"26km NE of Soledad, California"
300,ci,11379930,1382048001800,36.0828,-117.8803,1.1,2.4,19,"48km N of Inyokern, California"
301,ci,11379914,1382046162000,34.0273,-117.181,1.1,11.8,20,"3km S of Redlands, California"
302,nc,72089686,1382045409200,40.7197,-122.3228,2.4,21,,"5km NE of Shasta Lake, California"
303,ci,11379906,1382045010800,34.054,-117.247,1.4,12.2,56,"1km ENE of Loma Linda, California"
304,ci,11379898,1382044748100,33.955,-117.227,1.2,14,23,"1km N of Moreno Valley, California"
305,ak,10825923,1382042519000,61.4834,-141.6105,1.2,15.4,,"150km E of Chitina, Alaska"
306,ak,10825920,1382042445000,60.7558,-147.793,2.1,8,,"48km E of Whittier, Alaska"
307,nc,72089666,1382041280000,38.8253,-122.7967,1.6,3.2,,"6km W of Cobb, California"
308,us,b000kfvj,1382040756270,-23.117,69.0736,4.9,10,,Mid-Indian Ridge
309,ak,10826748,1382040746000,60.19,-153.1686,2.1,134.5,,"40km SW of Redoubt Volcano, Alaska"
310,ak,10826747,1382039448000,59.8224,-153.1956,2,151.1,20,"76km W of Anchor Point, Alaska"
311,ak,10826746,1382038669000,57.2218,-155.3793,2.6,70,26,"91km WSW of Larsen Bay, Alaska"
312,ak,10825896,1382038433000,61.0958,-140.0214,1,9.4,10,"141km WNW of Haines Junction, Canada"
313,ak,10825881,1382037828000,60.3062,-150.8705,3,62,88,"22km SSE of Soldotna, Alaska"
314,ak,10825878,1382037584000,62.033,-150.7131,1.4,4.5,16,"45km SW of Talkeetna, Alaska"
315,ak,10825849,1382037015000,60.0005,-139.5716,1.5,0,10,"51km N of Yakutat, Alaska"
316,ak,10825806,1382035655000,61.5109,-140.5936,1,7.1,11,"186km WNW of Haines Junction, Canada"
317,ak,10826739,1382035475000,61.5771,-150.5377,1.4,48.4,18,"31km WNW of Big Lake, Alaska"
318,ak,10825802,1382034896000,61.5146,-140.6252,1.2,7,13,"188km WNW of Haines Junction, Canada"
319,ak,10825799,1382034805000,61.5143,-140.6548,1.6,1.1,19,"188km NNE of Cape Yakataga, Alaska"
320,ci,11379834,1382034320100,33.1942,-116.149,1.6,9.2,38,"21km WSW of Salton City, California"
321,nc,72089616,1382034312300,36.3745,-120.8478,1.5,24.8,,"30km NE of King City, California"
322,ak,10825792,1382033714000,61.2556,-150.8422,1.4,63.4,22,"50km W of Anchorage, Alaska"
323,ci,11379826,1382031499200,36.0805,-117.8767,1.5,2.5,26,"48km N of Inyokern, California"
324,ak,10826735,1382029653000,66.0043,-151.0007,1.5,6,8,"95km SE of New Allakaket, Alaska"
325,nn,00426643,1382028965145,37.3288,-117.4946,1.29,8,25,"47km SSW of Goldfield, Nevada"
326,us,b000kfnh,1382028863410,40.7651,143.6513,4.6,40.41,,"184km E of Hachinohe, Japan"
327,ak,10826734,1382028512000,53.4311,-165.8644,1.4,20.1,10,"66km SE of Unalaska, Alaska"
328,uu,60041552,1382028347400,41.595,-111.6927,1,9.5,,"13km ESE of Hyrum, Utah"
329,ak,10825782,1382028321000,54.7506,-164.1207,2.1,3.8,12,"46km WSW of False Pass, Alaska"
330,nm,101713c,1382028073100,36.5428,-89.6172,1.3,6.9,11,"5km S of Lilbourn, Missouri"
331,ak,10825772,1382027565000,60.1546,-151.0646,2.9,65.9,90,"33km N of Fritz Creek, Alaska"
332,uu,60041547,1382027294500,41.5815,-111.6387,1.1,15.5,,"18km ESE of Hyrum, Utah"
333,uu,60041537,1382026759900,41.6033,-111.6838,3.6,11.4,,"14km ESE of Hyrum, Utah"
334,ak,10825766,1382026317000,65.8152,-149.363,2,7.5,28,"108km NNE of Manley Hot Springs, Alaska"
335,ci,11379802,1382025086500,34.6112,-116.6463,1.2,10.6,10,"34km ENE of Lucerne Valley, California"
336,ak,10825762,1382025020000,51.4432,-174.8079,3.4,13.8,14,"93km SSW of Atka, Alaska"
337,nc,72089531,1382024460700,40.7127,-122.4883,2.7,22.4,,"10km WNW of Shasta Lake, California"
338,nc,72089521,1382024089100,39.5772,-122.5028,1.9,5,,"27km WNW of Willows, California"
339,nc,72089526,1382024080000,37.4743,-120.4752,2.3,9.3,,"15km NE of Winton, California"
340,us,b000kfk9,1382023740700,-6.4986,154.8574,4.9,63.27,,"72km WSW of Panguna, Papua New Guinea"
341,uu,60041527,1382023642900,38.9562,-111.3993,1.6,1.5,,"27km WSW of Ferron, Utah"
342,ci,11379794,1382023563000,36.1378,-118.0612,1.4,0.7,12,"51km S of Lone Pine, California"
343,ak,10825751,1382022412000,60.5295,-147.3905,1.8,6.4,28,"75km ESE of Whittier, Alaska"
344,hv,60578296,1382022033300,19.3207,-155.1912,2.6,1.8,,"13km SSE of Volcano, Hawaii"
345,ci,11379778,1382020974400,32.9128,-116.274,1.1,5,20,"25km ENE of Pine Valley, California"
346,ak,10825745,1382020020000,61.5115,-140.6219,1.3,3.9,,"187km WNW of Haines Junction, Canada"
347,ci,11379770,1382019538500,32.9217,-115.5293,1.8,11.7,24,"6km S of Brawley, California"
348,hv,60578286,1382019528300,19.3675,-155.2747,2.5,31.6,,"8km SSW of Volcano, Hawaii"
349,ak,10825737,1382019506000,61.4426,-148.4129,1.6,32.3,,"34km ESE of Butte, Alaska"
350,ak,10825733,1382019305000,61.1294,-151.0326,1.6,61.1,,"50km NNE of Nikiski, Alaska"
351,ak,10826724,1382019073000,51.6294,-179.2591,2.4,83.9,9,"42km NNW of Amatignak Island, Alaska"
352,ak,10825731,1382018467000,59.9225,-139.7012,1.1,0,8,"41km N of Yakutat, Alaska"
353,nc,72089491,1382017510600,37.3892,-118.6773,3.1,13.2,,"21km W of West Bishop, California"
354,ak,10825723,1382016966000,59.9699,-139.5517,1.5,0,9,"48km NNE of Yakutat, Alaska"
355,nc,72089486,1382016820500,38.8023,-122.774,1.4,1,,"3km NNW of The Geysers, California"
356,nc,72089481,1382016674900,36.4967,-121.0717,1.5,4.5,,"24km ENE of Soledad, California"
357,nc,72089476,1382016435500,37.4985,-118.8418,1.2,7.4,,"20km SE of Mammoth Lakes, California"
358,uu,60041522,1382016298500,40.7232,-112.0137,1.4,6.7,,"3km NNW of West Valley City, Utah"
359,nc,72089471,1382016154200,38.8165,-122.8185,1.2,2.9,,"6km NW of The Geysers, California"
360,ak,10826721,1382015006000,57.8182,-155.2497,2.3,4.6,15,"81km WNW of Larsen Bay, Alaska"
361,nc,72089466,1382014884600,37.206,-121.6035,1.6,2.9,,"9km NNE of Morgan Hill, California"
362,nn,00426621,1382014000588,38.425,-118.7444,1.3,0.6338,9,"15km SW of Hawthorne, Nevada"
363,ci,11379746,1382013320200,34.2178,-118.191,1.7,2.3,45,"2km N of La Canada Flintridge, California"
364,nc,72089446,1382010484700,37.0132,-121.2103,1.4,2.9,,"24km NE of Hollister, California"
365,nc,72089436,1382009834600,37.7752,-122.6195,1.3,6.3,,"13km SSW of Tamalpais-Homestead Valley, California"
366,nc,72089431,1382008916400,38.7805,-122.7553,1.1,1.9,,"0km NNE of The Geysers, California"
367,us,b000kfhi,1382008392050,-10.8982,165.9252,5.4,62.8,,"22km SSE of Lata, Solomon Islands"
368,nc,72089426,1382007759100,35.591,-120.9593,1.4,4,,"11km ENE of Cambria, California"
369,ak,10825700,1382007404000,62.0441,-150.1788,1.2,8.8,,"21km SW of Y, Alaska"
370,nc,72089421,1382006636700,38.7857,-122.7633,1.1,1.6,,"1km NNW of The Geysers, California"
371,ak,10825696,1382006318000,63.2932,-151.2993,1.1,7.6,,"118km W of Cantwell, Alaska"
372,ak,10826718,1382005603000,52.3281,-175.4843,1.7,93.5,8,"88km W of Atka, Alaska"
373,ak,10825694,1382005471000,51.3155,-178.0731,2.1,21.5,12,"63km S of Tanaga Volcano, Alaska"
374,nc,72089401,1382004961000,38.8682,-122.81,1.6,1.6,,"9km NW of Cobb, California"
375,ak,10825687,1382003594000,63.0001,-149.5643,1.4,75.3,,"53km SW of Cantwell, Alaska"
376,ak,10825679,1382001528000,61.6356,-147.8122,1,30.7,12,"57km ESE of Sutton-Alpine, Alaska"
377,uw,60612372,1382001434600,45.1405,-122.6147,1.5,16.6,,"3km WSW of Molalla, Oregon"
378,ak,10826712,1382001002000,55.3149,-161.292,2.2,74.3,6,"50km W of Sand Point, Alaska"
379,ak,10825678,1382000647000,59.255,-137.2226,1.6,19.7,14,"101km W of Haines, Alaska"
380,nn,00426617,1382000618617,38.4108,-118.7362,1.12,0.6568,8,"15km SW of Hawthorne, Nevada"
381,ak,10826710,1382000081000,61.503,-140.5874,1.1,9.2,13,"185km WNW of Haines Junction, Canada"
382,ak,10825673,1382000032000,61.4821,-140.6489,1.7,1,,"185km NNE of Cape Yakataga, Alaska"
383,nm,101713b,1381999400300,36.5381,-89.6002,1.1,8.4,10,"6km SSE of Lilbourn, Missouri"
384,nm,101713a,1381999343100,36.5363,-89.5955,1.5,7.9,12,"6km SSE of Lilbourn, Missouri"
385,ak,10825668,1381997982000,63.3109,-151.1315,1.1,18.5,,"109km W of Cantwell, Alaska"
386,us,b000kfgf,1381997360900,12.0947,-88.5719,4.2,40.04,,"131km S of Puerto El Triunfo, El Salvador"
387,ci,11379698,1381997204800,36.1125,-117.693,1.3,1.6,12,"46km NW of Searles Valley, California"
388,nc,72089356,1381997060300,36.6678,-121.299,1.3,4.1,,"17km SSE of Ridgemark, California"
389,ak,10825664,1381996390000,61.6448,-149.5028,1.2,34.1,,"4km WNW of Tanaina, Alaska"
390,ak,10825661,1381995983000,61.503,-140.6207,1,6.6,13,"187km WNW of Haines Junction, Canada"
391,ak,10826703,1381995636000,65.7475,-151.4043,1.5,18.4,9,"71km NNE of Tanana, Alaska"
392,ak,10826702,1381995202000,60.1367,-147.8935,1.3,9.7,11,"83km E of Bear Creek, Alaska"
393,ak,10825660,1381994902000,60.0346,-139.624,1.1,0,7,"54km N of Yakutat, Alaska"
394,ak,10825657,1381994636000,61.5104,-140.669,1.5,0.9,,"187km NNE of Cape Yakataga, Alaska"
395,ak,10826699,1381994331000,66.7659,-147.3962,1.4,12.8,10,"96km WNW of Fort Yukon, Alaska"
396,ak,10825655,1381994310000,51.3555,-174.5611,1.8,9.4,7,"96km SSW of Atka, Alaska"
397,nn,00426612,1381993672361,38.6371,-115.5517,1.73,0,11,"13km SSW of Currant, Nevada"
398,uu,60041512,1381991676800,38.5278,-111.7847,1.5,12.8,,"18km NW of Loa, Utah"
399,ak,10826695,1381991642000,59.8924,-149.242,1.5,16.9,10,"26km SSE of Seward, Alaska"
400,hv,60578176,1381991626600,19.3173,-155.1155,2.4,8.2,,"17km SE of Volcano, Hawaii"
401,ak,10826694,1381991595000,62.6739,-151.348,1.3,92.8,13,"74km WNW of Talkeetna, Alaska"
402,us,b000kffw,1381991505150,-6.6663,154.8032,4.8,34.97,,"84km WSW of Panguna, Papua New Guinea"
403,uu,60041507,1381991500500,44.7603,-110.5862,1.6,4,,"38km NNE of Old Faithful Geyser, Wyoming"
404,ak,10825645,1381991178000,59.9227,-139.6092,1.6,0,11,"42km N of Yakutat, Alaska"
405,nc,72089296,1381991135600,38.779,-122.6508,1.2,10.6,,"4km NW of Middletown, California"
406,ci,11379602,1381990986100,33.1917,-115.615,1.6,1.3,42,"10km WSW of Niland, California"
407,ak,10826692,1381990940000,60.8986,-147.0945,1.3,21.5,17,"47km WSW of Valdez, Alaska"
408,pr,13290002,1381990605200,18.6289,-64.9951,2.2,14,3,"32km NNW of Charlotte Amalie, U.S. Virgin Islands"
409,ak,10825638,1381989054000,61.064,-148.3691,1.1,0,,"36km NNE of Whittier, Alaska"
410,uu,60041502,1381988911000,44.7702,-110.5892,2,3.3,,"39km NNE of Old Faithful Geyser, Wyoming"
411,us,b000kfg7,1381988764370,10.004,124.107,4.7,20.22,,"5km SE of Inabanga, Philippines"
412,ak,10826690,1381986854000,51.5163,-176.093,1.8,23.8,12,"56km SE of Adak, Alaska"
413,ak,10825627,1381984581000,61.9128,-150.9802,1.7,10.8,,"52km WNW of Willow, Alaska"
414,ak,10825623,1381984076000,63.2911,-151.3182,1.6,9.5,,"119km W of Cantwell, Alaska"
415,nc,72089246,1381983813400,36.4637,-121.042,2,6,,"24km NE of Greenfield, California"
416,ak,10825614,1381982860000,59.94,-139.7006,1,0,,"43km N of Yakutat, Alaska"
417,ci,11379594,1381982831700,37.0285,-117.5048,1.5,5.1,9,"66km W of Beatty, Nevada"
418,pr,13290001,1381982175400,17.9545,-66.896,1.6,17,8,"2km SSE of Guanica, Puerto Rico"
419,ak,10825612,1381982174000,59.1928,-136.2747,1.7,6.3,,"47km W of Haines, Alaska"
420,ak,10825609,1381981526000,63.3704,-145.6698,1.2,8.5,,"60km SSW of Deltana, Alaska"
421,ci,11379578,1381981248900,33.7957,-117.6367,1.1,3.6,24,"10km SW of Corona, California"
422,ak,10825608,1381981246000,59.9567,-153.2321,2.1,123.6,,"64km SSW of Redoubt Volcano, Alaska"
423,uu,60041487,1381980336000,38.9593,-111.4055,1.7,1.6,,"27km WSW of Ferron, Utah"
424,ak,10826683,1381980149000,54.3273,-161.4851,2.7,36.2,,"124km SE of Cold Bay, Alaska"
425,nn,00426598,1381979825027,38.4187,-118.7618,2.09,0,33,"16km SW of Hawthorne, Nevada"
426,ak,10825604,1381978964000,61.2425,-150.9406,1.5,69,,"55km W of Anchorage, Alaska"
427,nn,00426597,1381978695154,38.4145,-118.7465,1.11,3.5388,14,"16km SW of Hawthorne, Nevada"
428,ci,11379570,1381978460600,33.1933,-115.6098,1.3,1.1,31,"9km WSW of Niland, California"
429,hv,60578056,1381978076000,19.3713,-155.2327,2.5,31,,"6km S of Volcano, Hawaii"
430,nn,00426596,1381977898800,39.0933,-119.0619,1.23,8,16,"14km NE of Yerington, Nevada"
431,ak,10826681,1381977369000,55.1285,-160.7377,2.6,67.5,,"27km SSW of Sand Point, Alaska"
432,ci,11379562,1381977030400,34.0565,-116.736,1,12.5,25,"14km W of Morongo Valley, California"
433,uu,60041482,1381976178900,41.5093,-111.7033,2.4,9.8,,"18km SE of Hyrum, Utah"
434,nn,00426600,1381976163480,38.4149,-118.7438,2.57,2.2552,14,"16km SW of Hawthorne, Nevada"
435,nn,00426593,1381976153506,38.4227,-118.7432,2.63,4.5731,18,"15km SW of Hawthorne, Nevada"
436,hv,60578021,1381975825200,19.366,-155.2338,1.5,29.8,,"7km S of Volcano, Hawaii"
437,nc,72089186,1381975676300,35.557,-120.8633,1.2,12.2,,"12km NNE of Cayucos, California"
438,ak,10825590,1381975379000,61.9845,-148.836,1.8,4.6,,"20km N of Sutton-Alpine, Alaska"
439,ci,11379546,1381974854000,35.8917,-119.5648,1.6,19.1,11,"7km W of Alpaugh, California"
440,nc,72089171,1381973803500,37.3895,-118.6763,2.6,13.2,,"20km W of West Bishop, California"
441,nc,72089156,1381973643600,37.3912,-118.6767,2.2,12.9,,"21km W of West Bishop, California"
442,uu,60041477,1381973194600,38.9567,-111.4128,1.6,7.9,,"28km WSW of Ferron, Utah"
443,uu,60041472,1381972076200,40.7015,-111.4555,1.1,10.4,,"7km NNE of Park City, Utah"
444,ak,10825574,1381971811000,61.8913,-149.2923,1.1,9.5,,"16km N of Fishhook, Alaska"
445,nc,72089136,1381971225800,36.6218,-121.1612,2.7,8,,"24km SE of Ridgemark, California"
446,ak,10825564,1381970905000,63.241,-151.4626,1.6,9.2,,"123km NNW of Talkeetna, Alaska"
447,nn,00426587,1381970849741,39.078,-119.0515,1.42,6.2499,14,"14km NE of Yerington, Nevada"
448,nn,00426586,1381970418297,38.8433,-117.8951,2.52,5.8712,10,"3km SE of Gabbs, Nevada"
449,pr,13290000,1381970012700,18.8687,-68.8414,3.4,108,12,"23km ENE of Santa Cruz de El Seibo, Dominican Republic"
450,nc,72089116,1381969466600,38.8098,-122.8175,1.1,2.4,,"6km NW of The Geysers, California"
451,hv,60577856,1381969428100,18.9543,-154.9663,2,16.7,,"57km S of Leilani Estates, Hawaii"
452,ak,10825555,1381969351000,63.1146,-151.5506,1.8,15.3,,"114km NW of Talkeetna, Alaska"
453,ci,11379442,1381968740500,34.052,-116.9688,1,14,33,"7km ENE of Yucaipa, California"
454,ak,10825542,1381967881000,63.1114,-150.3955,2.4,106.5,56,"79km WSW of Cantwell, Alaska"
455,ak,10825544,1381967390000,60.798,-141.0249,1.6,62.9,7,"112km NE of Cape Yakataga, Alaska"
456,ak,10825537,1381967298000,60.7012,-143.0911,1.4,17,23,"79km NNW of Cape Yakataga, Alaska"
457,us,b000kfbv,1381966653100,9.7624,123.8588,5.3,35.22,,"2km NE of Maribojoc, Philippines"
458,ak,10825533,1381964850000,64.9923,-147.3549,1.2,0,11,"23km NNE of Badger, Alaska"
459,uu,60041462,1381964811500,38.961,-111.4072,1.7,1.7,,"27km WSW of Ferron, Utah"
460,ak,10825525,1381962174000,51.5691,-176.1415,2.4,42.1,15,"49km SE of Adak, Alaska"
461,ak,10825579,1381961987000,64.2784,-137.0377,2.7,25.2,21,"94km NW of Mayo, Canada"
462,us,b000kfad,1381961953500,9.9535,124.0062,4.9,22.35,,"2km WSW of Clarin, Philippines"
463,ci,11379402,1381961705400,36.0733,-117.5182,1.3,5.8,16,"35km NNW of Searles Valley, California"
464,nc,72089056,1381961477200,37.6663,-122.4917,2,4.5,,"2km SSW of Broadmoor, California"
465,ak,10826206,1381960504000,52.6409,-169.4569,2.1,5.1,6,"51km SW of Nikolski, Alaska"
466,ci,11379394,1381960340600,33.1318,-115.5975,1.4,5,28,"7km W of Calipatria, California"
467,ak,10825511,1381959523000,58.9741,-150.9665,2.4,47.1,46,"81km SSE of Homer, Alaska"
468,ci,11379386,1381959462500,36.0703,-117.5103,1.2,6.5,13,"34km NNW of Searles Valley, California"
469,ak,10825508,1381959023000,63.3201,-150.9374,1,7.3,13,"99km W of Cantwell, Alaska"
470,pr,13289005,1381958754300,18.8757,-67.444,2.9,6,19,"55km NW of San Antonio, Puerto Rico"
471,nc,72089026,1381958164400,36.0422,-120.6208,1.8,1.5,,"25km WSW of Coalinga, California"
472,nc,72089016,1381957763200,36.763,-121.5912,1.4,1,,"7km ESE of Prunedale, California"
473,nc,72089011,1381957419600,36.7335,-121.6077,1.5,0,,"7km SE of Prunedale, California"
474,hv,60577776,1381956573100,19.2882,-155.2135,2.4,9.8,,"15km S of Volcano, Hawaii"
475,nc,72088991,1381956342800,38.8362,-122.8037,1.2,2.7,,"7km WNW of Cobb, California"
476,hv,60577771,1381955934600,19.3743,-155.2372,1.5,29.9,,"6km S of Volcano, Hawaii"
477,ak,10825413,1381955439000,51.8757,-173.5476,3,16.9,19,"57km SE of Atka, Alaska"
478,ak,10826199,1381954776000,62.2947,-151.1574,1.3,82.1,18,"54km W of Talkeetna, Alaska"
479,ci,11379378,1381953622700,33.8612,-117.5025,1.4,0,21,1km N of Quarry at CORONA
480,uu,60041447,1381953286900,38.9583,-111.3975,1.3,1.6,,"27km WSW of Ferron, Utah"
481,ak,10825404,1381952420000,64.5414,-147.1479,1.6,2.4,23,"11km W of Salcha, Alaska"
482,nc,72088946,1381952365600,38.8093,-122.792,1.6,3.2,,"4km NW of The Geysers, California"
483,uu,60041437,1381952297000,38.9587,-111.3958,1,3.2,,"27km WSW of Ferron, Utah"
484,ci,11379370,1381951793700,35.0787,-118.4202,1.8,9.7,35,"6km SSE of Tehachapi, California"
485,nc,72088931,1381951488000,38.808,-122.8132,1.3,2.5,,"5km NW of The Geysers, California"
486,ci,11379362,1381951153900,32.138,-117.4388,2.3,10,11,"43km WSW of Rosarito, Mexico"
487,uu,60041417,1381950962400,40.4338,-111.4687,1,8.5,,"8km S of Midway, Utah"
488,ak,10825385,1381950036000,63.5092,-147.3145,1.6,0.1,28,"82km E of Cantwell, Alaska"
489,nc,72088901,1381949646600,38.79,-122.765,1.8,2,,"1km NNW of The Geysers, California"
490,ak,10825378,1381949398000,59.986,-140.0368,1.1,0,4,"51km NNW of Yakutat, Alaska"
491,nc,72088891,1381949354000,38.8347,-122.7852,1.2,2.4,,"5km WNW of Cobb, California"
492,nc,72088886,1381948793200,37.3898,-118.677,1.8,13.3,,"19km W of West Bishop, California"
493,ci,11379354,1381948778100,35.0472,-118.3235,1.2,0,22,0km SW of Quarry at MOJAVE
494,ak,10825369,1381948775000,63.4644,-146.4801,1.3,15.5,18,"73km SSW of Delta Junction, Alaska"
495,uu,60041407,1381948771400,38.9643,-111.4052,1,5.6,,"27km WSW of Ferron, Utah"
496,ak,10825366,1381948684000,61.5048,-140.5932,1,8.2,11,"186km WNW of Haines Junction, Canada"
497,nn,00426568,1381948642831,37.4045,-117.0618,1.37,16,9,"37km SSE of Goldfield, Nevada"
498,uu,60041397,1381948270600,38.9595,-111.4057,2.1,2.3,,"27km WSW of Ferron, Utah"
499,uu,60041392,1381948080300,38.959,-111.397,1.5,1.4,,"27km WSW of Ferron, Utah"
500,ak,10825346,1381946643000,61.5549,-152.0028,1.2,5.1,12,"103km NNW of Nikiski, Alaska"
501,mb,13556084,1381945967900,45.3301,-112.6241,1,12.1,6,"12km N of Dillon, Montana"
502,ci,11379322,1381945484400,34.1615,-117.6258,1.4,10.1,28,"2km ENE of San Antonio Heights, California"
503,ak,10825325,1381945354000,61.4232,-146.9912,1.7,4.6,39,"47km NW of Valdez, Alaska"
504,ci,11379314,1381945266000,33.4877,-116.4488,1.1,8.8,33,"22km ESE of Anza, California"
505,nc,72088856,1381944898500,37.5945,-118.8142,1.6,10,,"15km SE of Mammoth Lakes, California"
506,ci,11379298,1381944438500,38.8707,-118.2898,1.8,5,6,Nevada
507,ak,10826192,1381943930000,51.3576,-174.3777,1.8,14,8,"94km S of Atka, Alaska"
508,ci,37161781,1381942884500,34.6318,-117.1143,1.3,0,11,0km ENE of Quarry at VICTORVILLE
509,ci,11379266,1381942878900,33.872,-117.7312,1.4,5.7,28,"7km ESE of Yorba Linda, California"
510,ak,10825298,1381942655000,59.9539,-139.5137,1.5,0,11,"46km NNE of Yakutat, Alaska"
511,ak,10826190,1381942097000,59.2776,-151.9244,1.8,69.6,26,"45km SSW of Homer, Alaska"
512,ak,10825292,1381941952000,60.185,-141.3224,1.6,0,20,"63km ENE of Cape Yakataga, Alaska"
513,hv,60577701,1381941738600,19.2308,-155.4222,2.2,35.6,,"6km ENE of Pahala, Hawaii"
514,us,b000keuu,1381941714930,-1.8932,118.9632,4.7,14.5,,"33km NW of Babana, Indonesia"
515,ak,10825285,1381941648000,61.5237,-140.6225,2.1,15.3,24,"188km WNW of Haines Junction, Canada"
516,ak,10825280,1381941003000,64.4085,-148.4303,1.1,9.7,16,"37km ESE of North Nenana, Alaska"
517,us,b000keun,1381940918610,-21.1497,-68.4484,4.3,139.72,,"154km NNE of Calama, Chile"
518,us,b000ketz,1381940089760,39.4917,139.345,4.4,59.62,,"69km WSW of Akita-shi, Japan"
519,ak,10825279,1381939950000,62.4346,-150.047,1,12.1,13,"12km NNE of Talkeetna, Alaska"
520,ak,10825270,1381938677000,61.5029,-140.6389,2.3,3.3,27,"187km NNE of Cape Yakataga, Alaska"
521,ak,10825263,1381938194000,51.4134,-174.4894,3.4,5.4,16,"89km SSW of Atka, Alaska"
522,ak,10825252,1381937704000,60.8337,-152.0975,2.7,112.6,71,"46km WNW of Nikiski, Alaska"
523,us,b000kesc,1381937565650,9.5789,123.717,4.9,20.55,,"1km SW of Duljo, Philippines"
524,ak,10825244,1381937239000,58.6851,-141.9588,3.4,10,68,"156km S of Cape Yakataga, Alaska"
525,us,b000keru,1381936107770,9.6423,123.6263,5.2,20.33,,"12km WNW of Duljo, Philippines"
526,us,b000kesk,1381935540570,-23.4779,-175.6496,4.9,10,,"248km SSW of `Ohonua, Tonga"
527,ak,10825235,1381935296000,63.8053,-149.4723,1.1,121.7,,"25km WSW of Healy, Alaska"
528,ci,11379218,1381935114600,34.0218,-117.1763,1,3.2,20,"3km S of Redlands, California"
529,ak,10825221,1381934877000,60.3607,-141.2559,1.1,14.3,,"72km ENE of Cape Yakataga, Alaska"
530,ak,10825219,1381933612000,59.7897,-139.899,1.6,0,9,"28km NNW of Yakutat, Alaska"
531,nc,72088761,1381931770700,38.8203,-122.7638,1,2.6,,"3km W of Cobb, California"
532,ak,10825207,1381931219000,64.0239,-147.0404,1.4,7.1,,"56km S of Salcha, Alaska"
